Gene_IDs	Gene_Names	log2FoldChange	pvalue	padj
ENSG00000158321	AUTS2	4.168691558	8.77E-04	0.005924192
ENSG00000107554	DNMBP	4.157840312	1.12E-03	0.007180606
ENSG00000160445	ZER1	4.157671304	1.73E-21	4.67E-19
ENSG00000107263	RAPGEF1	4.149298081	5.36E-04	0.003914716
ENSG00000129493	HEATR5A	4.149220716	4.39E-04	0.003351638
ENSG00000156239	HEMK2	4.145675361	1.60E-04	0.001433744
ENSG00000113595	TRIM23	4.134705565	5.79E-07	1.19E-05
ENSG00000115825	PRKD3	4.132853129	8.82E-09	3.02E-07
ENSG00000179820	MYADM	4.130789954	7.17E-07	1.41E-05
ENSG00000133704	IPO8	4.126671924	5.96E-05	0.000636284
ENSG00000163659	TIPARP	4.11858586	1.47E-03	0.008948011
ENSG00000113083	LOX	4.113924101	4.41E-06	6.83E-05
ENSG00000129566	TEP1	4.111645995	2.49E-08	7.48E-07
ENSG00000139182	CLSTN3	4.10883244	9.36E-04	0.006233119
ENSG00000120733	KDM3B	4.102451819	2.42E-13	2.18E-11
ENSG00000196634	LUADT1	4.102363603	1.11E-03	0.007127606
ENSG00000068489	PRR11	4.102144386	9.77E-06	0.000135122
ENSG00000119777	TMEM214	4.088924967	4.16E-06	6.48E-05
ENSG00000073849	ST6GAL1	4.085240973	3.93E-37	5.57E-34
ENSG00000099308	MAST3	4.08406584	1.11E-05	0.000150263
ENSG00000105810	CDK6	4.082514077	1.03E-04	0.000983606
ENSG00000138081	FBXO11	4.082492515	8.02E-10	3.57E-08
ENSG00000126787	DLGAP5	4.079533498	5.28E-05	0.000572827
ENSG00000073605	GSDMB	4.075187926	3.29E-04	0.002613145
ENSG00000143546	S100A8	4.066882248	1.26E-12	9.43E-11
ENSG00000205664	RP11-706O15.1	4.060441572	1.03E-05	0.000141654
ENSG00000005339	CREBBP	4.059014526	1.30E-11	7.86E-10
ENSG00000162869	PPP1R21	4.05363368	2.59E-05	0.000308775
ENSG00000072518	MARK2	4.052143274	5.17E-05	0.000563574
ENSG00000147124	ZNF41	4.051310817	3.15E-05	0.000365775
ENSG00000104331	BPNT2	4.045458035	5.96E-07	1.22E-05
ENSG00000196586	MYO6	4.045114373	6.16E-04	0.004405674
ENSG00000113719	ERGIC1	4.024995928	6.81E-06	9.91E-05
ENSG00000040933	INPP4A	4.021119907	9.69E-04	0.006411985
ENSG00000075568	TMEM131	4.020816015	5.03E-11	2.87E-09
ENSG00000095574	IKZF5	4.012765207	1.41E-08	4.56E-07
ENSG00000113273	ARSB	4.009751089	5.65E-05	0.000605723
